sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,value,HKMetadataKeyAudioExposureDuration,HKMetadataKeyAudioExposureLevel
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.0.1,"iPhone12,1",,2021-10-06 11:12:06 +0000,2021-10-13 11:17:35 +0000,momentaryLimit,11622.1 s,90.9324 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.0.2,"iPhone12,1",,2021-11-05 20:37:57 +0000,2021-11-12 20:38:11 +0000,momentaryLimit,13001.1 s,90.4451 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.1,"iPhone12,1",,2021-11-26 11:35:18 +0000,2021-12-03 11:59:11 +0000,momentaryLimit,8035.74 s,92.5472 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.1,"iPhone12,1",,2021-12-08 11:03:32 +0000,2021-12-15 11:12:34 +0000,momentaryLimit,10399 s,91.4182 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.2.1,"iPhone12,1",,2022-01-20 04:38:54 +0000,2022-01-27 04:46:29 +0000,momentaryLimit,15763.3 s,89.6078 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.2.1,"iPhone12,1",,2022-01-27 04:46:29 +0000,2022-02-01 05:16:35 +0000,momentaryLimit,19467.6 s,88.693 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.2.1,"iPhone12,1",,2022-02-01 05:16:35 +0000,2022-02-03 14:41:33 +0000,momentaryLimit,12864.2 s,90.4923 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.2.1,"iPhone12,1",,2022-02-03 14:41:33 +0000,2022-02-07 10:01:27 +0000,momentaryLimit,11110.3 s,91.1269 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.2.1,"iPhone12,1",,2022-02-07 10:01:27 +0000,2022-02-09 05:11:52 +0000,momentaryLimit,12425.8 s,90.6414 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.2.1,"iPhone12,1",,2022-02-09 05:11:52 +0000,2022-02-10 14:36:07 +0000,momentaryLimit,7990.08 s,92.5585 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.3.1,"iPhone12,1",,2022-03-19 11:45:20 +0000,2022-03-26 12:57:07 +0000,momentaryLimit,12872.9 s,90.4918 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.3.1,"iPhone12,1",,2022-04-17 20:31:37 +0000,2022-04-24 20:33:55 +0000,momentaryLimit,14898.9 s,89.8577 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.3.1,"iPhone12,1",,2022-04-24 20:33:55 +0000,2022-04-28 22:00:32 +0000,momentaryLimit,12766.4 s,90.5234 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.3.1,"iPhone12,1",,2022-05-07 14:47:24 +0000,2022-05-14 14:54:12 +0000,momentaryLimit,20774.1 s,88.4092 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.3.1,"iPhone12,1",,2022-05-14 14:54:12 +0000,2022-05-17 08:26:18 +0000,momentaryLimit,6671.08 s,93.3438 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.3.1,"iPhone12,1",,2022-05-17 08:26:18 +0000,2022-05-23 07:35:41 +0000,momentaryLimit,8452.58 s,92.3142 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.3.1,"iPhone12,1",,2022-05-23 07:35:41 +0000,2022-05-25 22:46:22 +0000,momentaryLimit,16268.4 s,89.4723 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.3.1,"iPhone12,1",,2022-05-25 22:46:22 +0000,2022-06-01 12:00:10 +0000,momentaryLimit,15953.1 s,89.6114 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-06-07 10:01:15 +0000,2022-06-14 10:51:52 +0000,momentaryLimit,10025.1 s,91.5734 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-06-17 17:15:37 +0000,2022-06-24 17:17:21 +0000,momentaryLimit,5382.27 s,94.2772 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-06-24 17:17:21 +0000,2022-06-30 20:43:07 +0000,momentaryLimit,5550.57 s,94.1436 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-07-06 17:43:45 +0000,2022-07-13 17:43:45 +0000,momentaryLimit,9579.04 s,91.7763 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-07-13 17:43:45 +0000,2022-07-18 19:04:53 +0000,momentaryLimit,27994.9 s,87.1152 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-07-18 19:04:53 +0000,2022-07-21 10:06:34 +0000,momentaryLimit,19515.6 s,88.6849 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-07-21 10:06:34 +0000,2022-07-22 09:05:34 +0000,momentaryLimit,15891.3 s,89.5811 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-07-22 09:05:34 +0000,2022-07-24 08:04:25 +0000,momentaryLimit,18530.7 s,88.9053 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-07-24 08:04:25 +0000,2022-07-26 07:44:42 +0000,momentaryLimit,20181 s,88.5345 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-07-26 07:44:42 +0000,2022-07-28 06:42:43 +0000,momentaryLimit,14113.6 s,90.0878 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-07-28 06:42:43 +0000,2022-07-29 15:59:20 +0000,momentaryLimit,10485.7 s,91.3816 dBASPL
HKCategoryTypeIdentifierHeadphoneAudioExposureEvent,Ege,15.5,"iPhone12,1",,2022-07-29 15:59:20 +0000,2022-07-31 10:28:46 +0000,momentaryLimit,22632.6 s,88.0369 dBASPL
